month	gc-meox-tms	matchms	ms2deepscore	msmetaenhancer	r-mfassignr	r-ramclustr	r-recetox-aplcms	r-recetox-waveica	r-recetox-xmsannotator	rcx-tk	riassigner	spec2vec	wtv
2024-12	3	891	392	20	10	16	28	29	4	3	11	18	
2025-01	2	1011	434	17	5	12	20	6	5	1	20	17	
2025-02	10	1089	473	66	18	50	80	23	19	5	41	16	
2025-03	3	1155	576	16	12	13	20	5	4	1	13	16	
2025-04	7	1159	698	49	15	40	60	16	13	3	45	22	
2025-05	11	765	196	80	15	47	70	19	15	5	48	41	17
2025-06	8	591	142	59	29	66	74	109	27	19	40	22	28
2025-07	6	487	112	68	16	46	110	39	15	4	54	22	31
2025-08	6	494	84	38	9	28	73	15	9	2	47	22	5
2025-09	4	506	104	34	11	24	59	20	8	2	39	15	18
2025-10	3	509	61	20	8	15	38	7	5	3	28	21	2
2025-11	26	11095	10033	167	11	171	444	5	58	12	27	118	65
